column_name,null_count,null_pct,dtype
mes,0,0.0,str
ubigeo,0,0.0,str
dominio,0,0.0,category
estrato,0,0.0,category
totmieho,0,0.0,int8
ia01hd,0,0.0,float64
ia02hd,0,0.0,float32
ig03hd1,0,0.0,int32
ig03hd2,0,0.0,int32
ig03hd3,0,0.0,int32
ig03hd4,0,0.0,int32
ga03hd,0,0.0,float32
ga04hd,0,0.0,float64
sg23,0,0.0,float32
sig24,0,0.0,float32
sg25,0,0.0,float32
sig26,0,0.0,float32
sg27,0,0.0,float32
sig28,0,0.0,float32
sg42,0,0.0,float32
sg421,0,0.0,float32
sg422,0,0.0,float32
sg42d,0,0.0,float32
sg42d1,0,0.0,float32
sg42d2,0,0.0,float32
ingbruhd,0,0.0,float64
ingnethd,0,0.0,float64
pagesphd,0,0.0,int32
ingindhd,0,0.0,float64
ingauthd,0,0.0,int32
insedthd,0,0.0,float64
insedlhd,0,0.0,float64
paesechd,0,0.0,int16
ingseihd,0,0.0,float64
isecauhd,0,0.0,int16
ingexthd,0,0.0,int32
ingtrahd,0,0.0,int32
ingtexhd,0,0.0,int32
ingrenhd,0,0.0,int32
ingoexhd,0,0.0,int32
g05hd,0,0.0,float32
ig06hd,0,0.0,float32
g05hd1,0,0.0,float32
ig06hd1,0,0.0,float32
g05hd2,0,0.0,float32
ig06hd2,0,0.0,float32
g07hd,0,0.0,float32
ig08hd,0,0.0,float32
ingtprhd,0,0.0,int32
ingtpuhd,0,0.0,int32
ingtpu01,0,0.0,int16
ingtpu02,0,0.0,int32
ingtpu03,0,0.0,int16
ingtpu04,0,0.0,int32
ingtpu05,0,0.0,int16
ingtpu10,0,0.0,int8
ingtpu12,0,0.0,int16
ingtpu13,0,0.0,int16
ingtpu14,0,0.0,int16
ingtpu16,0,0.0,int16
gru14hd1,0,0.0,float32
gru14hd2,0,0.0,float32
gru14hd4,0,0.0,float32
gru42hd1,0,0.0,float32
gru42hd2,0,0.0,float32
gru43hd1,0,0.0,float32
gru43hd2,0,0.0,float32
gru43hd3,0,0.0,float32
gru71hd,0,0.0,float32
gru72hd1,0,0.0,float32
gru73hd1,0,0.0,float32
gru73hd2,0,0.0,float32
gru73hd3,0,0.0,float32
gru74hd,0,0.0,float32
gru81hd,0,0.0,float32
gru82hd1,0,0.0,float32
gru82hd2,0,0.0,float32
gru83hd1,0,0.0,float32
gru83hd2,0,0.0,float32
gru83hd3,0,0.0,float32
gru83hd4,0,0.0,float32
gru84hd,0,0.0,float32
gru84hd1,0,0.0,float32
gru85hd1,0,0.0,float32
gru86hd1,0,0.0,float32
gru87hd,0,0.0,float32
ingmo1hd,0,0.0,float64
ingmo2hd,0,0.0,float64
inghog2d,0,0.0,float64
gashog1d,0,0.0,float64
ld,0,0.0,float32
estrsocial,0,0.0,category
lineav,0,0.0,float32
pobrezav,0,0.0,category
factor07,0,0.0,float32
nconglome,0,0.0,str
sub_conglome,0,0.0,str
p101,6,0.3955,category
p102,6,0.3955,category
p103,6,0.3955,category
p103a,6,0.3955,category
p104,6,0.3955,float64
p105a,0,0.0,category
p106,210,13.8431,float64
p110,0,0.0,category
p110a1,239,15.7548,category
p110c,239,15.7548,category
p111a,0,0.0,category
p1121,0,0.0,category
p112a,79,5.2076,category
p1131,0,0.0,category
p1132,0,0.0,category
p1133,0,0.0,category
p1135,0,0.0,category
p1136,0,0.0,category
p1137,0,0.0,category
p1139,0,0.0,category
p113a,11,0.7251,category
p1141,0,0.0,category
p1142,0,0.0,category
p1143,0,0.0,category
p1144,0,0.0,category
p1145,0,0.0,category
p114b1,135,8.8991,category
p114b2,158,10.4153,category
p114b3,158,10.4153,category
n_ninos_0_5,0,0.0,int64
n_ninos_6_16,0,0.0,int64
n_adultos_65_mas,0,0.0,int64
edad_jefe,0,0.0,float64
personas_con_mod_educ,0,0.0,int64
n_6_16_total,0,0.0,int64
n_6_16_matriculados,0,0.0,int64
n_6_16_no_matriculados,0,0.0,int64
n_6_16_no_asisten,0,0.0,int64
any_6_16_no_matriculados,0,0.0,int64
any_6_16_no_asisten,0,0.0,int64
personas_con_mod_salud,0,0.0,int64
miembros_con_sintoma_4w,0,0.0,int64
miembros_con_enfermedad_4w,0,0.0,int64
miembros_sin_atencion_salud,0,0.0,int64
miembros_afiliados_essalud,0,0.0,int64
any_sintoma_4w,0,0.0,int64
any_enfermedad_4w,0,0.0,int64
any_sin_atencion_salud,0,0.0,int64
personas_con_mod_empleo,0,0.0,int64
miembros_con_ingreso_laboral,0,0.0,int64
jefe_con_ingreso_laboral,0,0.0,int64
any_ingreso_laboral_hogar,0,0.0,int64
provincia_cod,0,0.0,str
distrito_cod,0,0.0,str
sexo_jefe_bin,0,0.0,int64
educ_jefe_ord,0,0.0,float64
educ_jefe,0,0.0,str
tam_hogar,0,0.0,int8
num_perceptores,0,0.0,int8
gasto_hogar,0,0.0,float64
material_piso,6,0.3955,str
piso_precario,0,0.0,int64
fuente_agua,0,0.0,str
acceso_agua_red,0,0.0,int64
agua_potable_reportada,0,0.0,int64
agua_disponible_diaria,0,0.0,int64
agua_segura_proxy,0,0.0,int64
tipo_desague,0,0.0,str
acceso_desague_red,0,0.0,int64
saneamiento_inadecuado,0,0.0,int64
acceso_electricidad,0,0.0,int64
combustible_principal,11,0.7251,str
combustible_limpio,0,0.0,int64
combustible_precario,0,0.0,int64
internet_hogar,0,0.0,int64
area_urbana_rural,0,0.0,str
area_rural_bin,0,0.0,int64
health_no_attention,0,0.0,int64
children_not_enrolled,0,0.0,int64
children_not_attending,0,0.0,int64
target_pobreza_bin,0,0.0,int64
