variable,rol_eda,dtype,nulos,nulos_pct,n_unicos
mes,categorica,str,0,0.0,12
ubigeo,categorica,str,0,0.0,64
dominio,categorica,string,0,0.0,2
estrato,categorica,string,0,0.0,6
totmieho,numerica,int8,0,0.0,10
ia01hd,numerica,float64,0,0.0,741
ia02hd,numerica,float32,0,0.0,15
ig03hd1,numerica,int32,0,0.0,6
ig03hd2,numerica,int32,0,0.0,9
ig03hd3,numerica,int32,0,0.0,36
ig03hd4,numerica,int32,0,0.0,2
ga03hd,numerica,float32,0,0.0,106
ga04hd,numerica,float64,0,0.0,748
sg23,numerica,float32,0,0.0,39
sig24,numerica,float32,0,0.0,4
sg25,numerica,float32,0,0.0,123
sig26,numerica,float32,0,0.0,7
sg27,numerica,float32,0,0.0,9
sig28,numerica,float32,0,0.0,3
sg42,numerica,float32,0,0.0,1035
sg421,numerica,float32,0,0.0,1143
sg422,numerica,float32,0,0.0,397
sg42d,numerica,float32,0,0.0,211
sg42d1,numerica,float32,0,0.0,268
sg42d2,numerica,float32,0,0.0,52
ingbruhd,numerica,float64,0,0.0,759
ingnethd,numerica,float64,0,0.0,821
pagesphd,numerica,int32,0,0.0,372
ingindhd,numerica,float64,0,0.0,794
ingauthd,numerica,int32,0,0.0,325
insedthd,numerica,float64,0,0.0,111
insedlhd,numerica,float64,0,0.0,110
paesechd,numerica,int16,0,0.0,37
ingseihd,numerica,float64,0,0.0,223
isecauhd,numerica,int16,0,0.0,91
ingexthd,numerica,int32,0,0.0,327
ingtrahd,numerica,int32,0,0.0,462
ingtexhd,numerica,int32,0,0.0,8
ingrenhd,numerica,int32,0,0.0,112
ingoexhd,numerica,int32,0,0.0,322
g05hd,numerica,float32,0,0.0,982
ig06hd,numerica,float32,0,0.0,78
g05hd1,numerica,float32,0,0.0,26
ig06hd1,numerica,float32,0,0.0,223
g05hd2,numerica,float32,0,0.0,62
ig06hd2,numerica,float32,0,0.0,15
g07hd,numerica,float32,0,0.0,1015
ig08hd,numerica,float32,0,0.0,23
ingtprhd,numerica,int32,0,0.0,227
ingtpuhd,numerica,int32,0,0.0,288
ingtpu01,numerica,int16,0,0.0,11
ingtpu02,numerica,int32,0,0.0,192
ingtpu03,numerica,int16,0,0.0,22
ingtpu04,numerica,int32,0,0.0,6
ingtpu05,numerica,int16,0,0.0,10
ingtpu10,numerica,int8,0,0.0,4
ingtpu12,numerica,int16,0,0.0,6
ingtpu13,numerica,int16,0,0.0,4
ingtpu14,numerica,int16,0,0.0,4
ingtpu16,numerica,int16,0,0.0,21
gru14hd1,numerica,float32,0,0.0,30
gru14hd2,numerica,float32,0,0.0,6
gru14hd4,numerica,float32,0,0.0,64
gru42hd1,numerica,float32,0,0.0,87
gru42hd2,numerica,float32,0,0.0,15
gru43hd1,numerica,float32,0,0.0,3
gru43hd2,numerica,float32,0,0.0,520
gru43hd3,numerica,float32,0,0.0,6
gru71hd,numerica,float32,0,0.0,1113
gru72hd1,numerica,float32,0,0.0,25
gru73hd1,numerica,float32,0,0.0,230
gru73hd2,numerica,float32,0,0.0,278
gru73hd3,numerica,float32,0,0.0,130
gru74hd,numerica,float32,0,0.0,4
gru81hd,numerica,float32,0,0.0,1425
gru82hd1,numerica,float32,0,0.0,98
gru82hd2,numerica,float32,0,0.0,10
gru83hd1,numerica,float32,0,0.0,5
gru83hd2,numerica,float32,0,0.0,319
gru83hd3,numerica,float32,0,0.0,21
gru83hd4,numerica,float32,0,0.0,2
gru84hd,numerica,float32,0,0.0,5
gru84hd1,numerica,float32,0,0.0,33
gru85hd1,numerica,float32,0,0.0,3
gru86hd1,numerica,float32,0,0.0,17
gru87hd,numerica,float32,0,0.0,2
ingmo1hd,numerica,float64,0,0.0,1481
ingmo2hd,numerica,float64,0,0.0,1481
inghog2d,numerica,float64,0,0.0,1517
gashog1d,numerica,float64,0,0.0,1517
ld,numerica,float32,0,0.0,4
estrsocial,categorica,string,0,0.0,6
lineav,numerica,float32,0,0.0,1517
pobrezav,categorica,string,0,0.0,4
factor07,numerica,float32,0,0.0,74
nconglome,categorica,str,0,0.0,254
sub_conglome,categorica,str,0,0.0,6
p101,categorica,string,6,0.3955,6
p102,categorica,string,6,0.3955,8
p103,categorica,string,6,0.3955,7
p103a,categorica,string,6,0.3955,8
p104,numerica,float64,6,0.3955,11
p105a,categorica,string,0,0.0,7
p106,numerica,float64,210,13.8431,180
p110,categorica,string,0,0.0,8
p110a1,categorica,string,239,15.7548,2
p110c,categorica,string,239,15.7548,2
p111a,categorica,string,0,0.0,7
p1121,categorica,string,0,0.0,2
p112a,categorica,string,79,5.2076,3
p1131,categorica,string,0,0.0,2
p1132,categorica,string,0,0.0,2
p1133,categorica,string,0,0.0,2
p1135,categorica,string,0,0.0,2
p1136,categorica,string,0,0.0,2
p1137,categorica,string,0,0.0,2
p1139,categorica,string,0,0.0,2
p113a,categorica,string,11,0.7251,7
p1141,categorica,string,0,0.0,2
p1142,categorica,string,0,0.0,2
p1143,categorica,string,0,0.0,2
p1144,categorica,string,0,0.0,2
p1145,categorica,string,0,0.0,2
p114b1,categorica,string,135,8.8991,2
p114b2,categorica,string,158,10.4153,2
p114b3,categorica,string,158,10.4153,2
n_ninos_0_5,numerica,int64,0,0.0,4
n_ninos_6_16,numerica,int64,0,0.0,6
n_adultos_65_mas,numerica,int64,0,0.0,4
edad_jefe,numerica,float64,0,0.0,77
personas_con_mod_educ,numerica,int64,0,0.0,9
n_6_16_total,numerica,int64,0,0.0,6
n_6_16_matriculados,numerica,int64,0,0.0,5
n_6_16_no_matriculados,numerica,int64,0,0.0,5
n_6_16_no_asisten,numerica,int64,0,0.0,3
any_6_16_no_matriculados,binaria,int64,0,0.0,2
any_6_16_no_asisten,binaria,int64,0,0.0,2
personas_con_mod_salud,numerica,int64,0,0.0,10
miembros_con_sintoma_4w,numerica,int64,0,0.0,9
miembros_con_enfermedad_4w,numerica,int64,0,0.0,9
miembros_sin_atencion_salud,numerica,int64,0,0.0,10
miembros_afiliados_essalud,numerica,int64,0,0.0,8
any_sintoma_4w,binaria,int64,0,0.0,2
any_enfermedad_4w,binaria,int64,0,0.0,2
personas_con_mod_empleo,numerica,int64,0,0.0,8
miembros_con_ingreso_laboral,numerica,int64,0,0.0,7
jefe_con_ingreso_laboral,binaria,int64,0,0.0,2
any_ingreso_laboral_hogar,binaria,int64,0,0.0,2
provincia_cod,categorica,str,0,0.0,8
distrito_cod,categorica,str,0,0.0,64
sexo_jefe_bin,binaria,int64,0,0.0,2
educ_jefe_ord,numerica,float64,0,0.0,11
educ_jefe,categorica,str,0,0.0,11
tam_hogar,numerica,int8,0,0.0,10
num_perceptores,numerica,int8,0,0.0,8
gasto_hogar,numerica,float64,0,0.0,1517
material_piso,categorica,str,6,0.3955,7
piso_precario,binaria,int64,0,0.0,2
fuente_agua,categorica,str,0,0.0,8
acceso_agua_red,binaria,int64,0,0.0,2
agua_potable_reportada,binaria,int64,0,0.0,2
agua_disponible_diaria,binaria,int64,0,0.0,2
agua_segura_proxy,binaria,int64,0,0.0,2
tipo_desague,categorica,str,0,0.0,7
acceso_desague_red,binaria,int64,0,0.0,2
saneamiento_inadecuado,binaria,int64,0,0.0,2
acceso_electricidad,binaria,int64,0,0.0,2
combustible_principal,categorica,str,11,0.7251,7
combustible_limpio,binaria,int64,0,0.0,2
combustible_precario,binaria,int64,0,0.0,2
internet_hogar,binaria,int64,0,0.0,2
area_urbana_rural,categorica,str,0,0.0,2
area_rural_bin,binaria,int64,0,0.0,2
children_not_enrolled,binaria,int64,0,0.0,2
children_not_attending,binaria,int64,0,0.0,2
target_pobreza_bin,target,int64,0,0.0,2
