variable,count,missing_pct,mean,std,min,p25,median,p75,max
totmieho,1517,0.0,3.1977587343441,1.6126708822540838,1.0,2.0,3.0,4.0,10.0
ia01hd,1517,0.0,4532.05174686882,5431.460591296534,0.0,970.0,2470.0,6079.0,43369.0
ia02hd,1517,0.0,13.328938484191895,155.74078369140625,0.0,0.0,0.0,0.0,2905.0
ig03hd1,1517,0.0,113.51878707976269,2069.5299200980676,0.0,0.0,0.0,0.0,49267.0
ig03hd2,1517,0.0,371.7125906394199,7759.083609182254,0.0,0.0,0.0,0.0,278392.0
ig03hd3,1517,0.0,469.35266974291363,3860.30938702285,0.0,0.0,0.0,0.0,79313.0
ig03hd4,1517,0.0,9.728411338167435,378.90882086416923,0.0,0.0,0.0,0.0,14758.0
ga03hd,1517,0.0,358.5942687988281,1755.2139892578125,0.0,0.0,0.0,0.0,29370.0
ga04hd,1517,0.0,4545.380685563612,5422.557032530402,0.0,982.0,2470.0,6079.0,43369.0
sg23,1517,0.0,20.997411727905273,178.14488220214844,0.0,0.0,0.0,0.0,3581.6318359375
sig24,1517,0.0,1.9967039823532104,49.060089111328125,0.0,0.0,0.0,0.0,1592.0
sg25,1517,0.0,26.287872314453125,102.10515594482422,0.0,0.0,0.0,0.0,1154.5914306640625
sig26,1517,0.0,7.957284450531006,89.99382019042969,0.0,0.0,0.0,0.0,1592.0
sg27,1517,0.0,2.42901349067688,36.53038787841797,0.0,0.0,0.0,0.0,942.8147583007812
sig28,1517,0.0,0.7270929217338562,20.415128707885742,0.0,0.0,0.0,0.0,661.7999877929688
sg42,1517,0.0,169.34945678710938,242.50537109375,0.0,1.9115060567855835,61.707298278808594,254.32083129882812,1657.0809326171875
sg421,1517,0.0,97.7717514038086,110.35375213623047,0.0,9.770979881286621,69.48698425292969,149.58584594726562,818.2074584960938
sg422,1517,0.0,423.9660949707031,1293.5479736328125,0.0,0.0,0.0,38.66926956176758,17489.2578125
sg42d,1517,0.0,16.134740829467773,58.48147201538086,0.0,0.0,0.0,0.0,652.3251953125
sg42d1,1517,0.0,8.661151885986328,29.5324649810791,0.0,0.0,0.0,0.0,417.73699951171875
sg42d2,1517,0.0,14.107930183410645,180.12005615234375,0.0,0.0,0.0,0.0,4017.64404296875
ingbruhd,1517,0.0,17918.65475747518,23513.76493847311,0.0,0.0,11408.0,28730.0,278821.0
ingnethd,1517,0.0,15991.457462881612,19817.195775535693,0.0,0.0,10829.0,25996.0,223739.0
pagesphd,1517,0.0,1252.2406064601187,3377.584955660418,0.0,0.0,0.0,315.0,30535.0
ingindhd,1517,0.0,10777.797749609246,23133.70893528683,0.0,0.0,1604.0,13754.0,321159.0
ingauthd,1517,0.0,716.7422544495715,2403.334099059644,0.0,0.0,0.0,122.0,35694.0
insedthd,1517,0.0,614.4192691166777,3132.6723422150476,0.0,0.0,0.0,0.0,71800.0
insedlhd,1517,0.0,603.2933627224786,3065.862410293511,0.0,0.0,0.0,0.0,71800.0
paesechd,1517,0.0,43.013843111404086,377.99205879236246,0.0,0.0,0.0,0.0,6942.0
ingseihd,1517,0.0,1433.5206377435532,8319.928688375507,0.0,0.0,0.0,0.0,168648.0
isecauhd,1517,0.0,103.01845748187212,750.0456659286538,0.0,0.0,0.0,0.0,15843.0
ingexthd,1517,0.0,1602.2742254449572,5208.178499083227,0.0,0.0,0.0,0.0,65434.0
ingtrahd,1517,0.0,2898.7251153592615,6594.707659857229,0.0,0.0,0.0,3367.0,95950.0
ingtexhd,1517,0.0,99.6156888595913,2524.9675332883053,0.0,0.0,0.0,0.0,85529.0
ingrenhd,1517,0.0,774.3941990771259,4804.011843009585,0.0,0.0,0.0,0.0,95048.0
ingoexhd,1517,0.0,989.6051417270929,4407.845013299177,0.0,0.0,0.0,208.0,100360.0
g05hd,1517,0.0,3129.25244140625,4143.669921875,0.0,0.0,1470.3416748046875,4563.79638671875,30154.984375
ig06hd,1517,0.0,102.53910064697266,645.8352661132812,0.0,0.0,0.0,0.0,10111.5390625
g05hd1,1517,0.0,41.92972946166992,454.1712951660156,0.0,0.0,0.0,0.0,8916.845703125
ig06hd1,1517,0.0,595.9341430664062,2051.219970703125,0.0,0.0,0.0,0.0,33818.8203125
g05hd2,1517,0.0,175.43695068359375,1064.2044677734375,0.0,0.0,0.0,0.0,13018.822265625
ig06hd2,1517,0.0,60.945091247558594,715.6519775390625,0.0,0.0,0.0,0.0,12918.4482421875
g07hd,1517,0.0,1106.8446044921875,1397.1629638671875,0.0,103.64374542236328,692.1063232421875,1547.7855224609375,13431.197265625
ig08hd,1517,0.0,19.69124984741211,426.6611328125,0.0,0.0,0.0,0.0,16028.4248046875
ingtprhd,1517,0.0,1303.7897165458141,4597.509297440572,0.0,0.0,0.0,0.0,95950.0
ingtpuhd,1517,0.0,1694.5510876730389,5374.8548013333375,0.0,0.0,0.0,211.0,85529.0
ingtpu01,1517,0.0,30.343441001977588,189.38819716764368,0.0,0.0,0.0,0.0,1244.0
ingtpu02,1517,0.0,1511.8187211601846,5320.341240962137,0.0,0.0,0.0,0.0,85529.0
ingtpu03,1517,0.0,71.5484508899143,393.465983289336,0.0,0.0,0.0,0.0,3604.0
ingtpu04,1517,0.0,41.32827949901121,797.960924822807,0.0,0.0,0.0,0.0,23822.0
ingtpu05,1517,0.0,10.96901779828609,56.57804253409434,0.0,0.0,0.0,0.0,310.0
ingtpu10,1517,0.0,0.8780487804878049,5.383476566024307,0.0,0.0,0.0,0.0,62.0
ingtpu12,1517,0.0,2.4337508239947265,45.73035711622476,0.0,0.0,0.0,0.0,999.0
ingtpu13,1517,0.0,7.060646011865524,112.08453162647112,0.0,0.0,0.0,0.0,1795.0
ingtpu14,1517,0.0,0.7297297297297297,16.400197670577928,0.0,0.0,0.0,0.0,376.0
ingtpu16,1517,0.0,17.441001977587344,88.71412080755604,0.0,0.0,0.0,0.0,1140.0
gru14hd1,1517,0.0,64.86810302734375,872.6725463867188,0.0,0.0,0.0,0.0,19170.6953125
gru14hd2,1517,0.0,4.717759132385254,108.06897735595703,0.0,0.0,0.0,0.0,3556.32373046875
gru14hd4,1517,0.0,99.49017333984375,898.3856811523438,0.0,0.0,0.0,0.0,18410.5859375
gru42hd1,1517,0.0,26.360767364501953,141.47970581054688,0.0,0.0,0.0,0.0,2142.98828125
gru42hd2,1517,0.0,2.4003632068634033,33.69137191772461,0.0,0.0,0.0,0.0,825.5303344726562
gru43hd1,1517,0.0,0.03744328394532204,1.3274950981140137,0.0,0.0,0.0,0.0,51.42771911621094
gru43hd2,1517,0.0,48.14234924316406,439.309326171875,0.0,0.0,3.1274547576904297,13.876546859741211,15048.2822265625
gru43hd3,1517,0.0,0.02464490570127964,0.47205427289009094,0.0,0.0,0.0,0.0,12.715019226074219
gru71hd,1517,0.0,2198.246337890625,4566.552734375,0.0,15.062363624572754,525.0,2299.0,49279.80078125
gru72hd1,1517,0.0,1.6920149326324463,21.831069946289062,0.0,0.0,0.0,0.0,492.0
gru73hd1,1517,0.0,71.58470916748047,468.0206604003906,0.0,0.0,0.0,30.0,13196.0
gru73hd2,1517,0.0,216.97882080078125,1092.43505859375,0.0,0.0,0.0,0.0,17012.5
gru73hd3,1517,0.0,7.283147811889648,89.46043395996094,0.0,0.0,0.0,0.0,3330.3583984375
gru74hd,1517,0.0,0.40494397282600403,9.82708740234375,0.0,0.0,0.0,0.0,321.20001220703125
gru81hd,1517,0.0,1189.4075927734375,1661.9114990234375,0.0,281.267333984375,720.0277099609375,1466.875,24991.26171875
gru82hd1,1517,0.0,39.53519821166992,249.18606567382812,0.0,0.0,0.0,0.0,5213.4921875
gru82hd2,1517,0.0,2.084676504135132,50.32082748413086,0.0,0.0,0.0,0.0,1889.2701416015625
gru83hd1,1517,0.0,0.154157817363739,3.299722671508789,0.0,0.0,0.0,0.0,83.1754150390625
gru83hd2,1517,0.0,62.24692916870117,262.3213195800781,0.0,0.0,0.0,0.0,5952.91796875
gru83hd3,1517,0.0,3.6323561668395996,61.559104919433594,0.0,0.0,0.0,0.0,2063.365478515625
gru83hd4,1517,0.0,0.028530800715088844,1.1112370491027832,0.0,0.0,0.0,0.0,43.28122329711914
gru84hd,1517,0.0,0.1399066150188446,3.2497968673706055,0.0,0.0,0.0,0.0,102.69999694824219
gru84hd1,1517,0.0,9.315781593322754,89.24120330810547,0.0,0.0,0.0,0.0,2006.2890625
gru85hd1,1517,0.0,0.41933244466781616,12.19609546661377,0.0,0.0,0.0,0.0,426.3106384277344
gru86hd1,1517,0.0,4.6866230964660645,69.79749298095703,0.0,0.0,0.0,0.0,2114.611328125
gru87hd,1517,0.0,0.06689219921827316,2.605363130569458,0.0,0.0,0.0,0.0,101.47547149658203
ingmo1hd,1517,0.0,37109.006779609736,38127.265278897525,0.0,14305.0,26560.3984375,47505.0,562327.0
ingmo2hd,1517,0.0,35170.68356896578,35411.442474278374,0.0,14214.0,25924.0,45130.0,557129.0
inghog2d,1517,0.0,44605.310908227664,39426.44434121376,122.29792785644531,19837.42578125,34267.40234375,55927.86328125,575652.3125
gashog1d,1517,0.0,24172.802410002514,18278.165142262194,66.45748138427734,11720.46484375,19820.3515625,32399.93359375,170377.96875
ld,1517,0.0,0.8171523809432983,0.03553951159119606,0.7330479621887207,0.8130300045013428,0.8130300045013428,0.8540331721305847,0.8679354786872864
lineav,1517,0.0,669.482666015625,30.78199005126953,564.378662109375,654.8963012695312,668.4234619140625,691.0323486328125,741.1695556640625
factor07,1517,0.0,287.621826171875,252.73184204101562,39.098411560058594,164.2596435546875,252.81320190429688,293.74359130859375,1383.718994140625
p104,1511,0.3955,3.2170747849106553,1.7295253474627357,1.0,2.0,3.0,4.0,12.0
p106,1307,13.8431,410.08033664881407,465.8478056983912,10.0,95.0,240.0,515.0,3600.0
n_ninos_0_5,1517,0.0,0.23796967699406724,0.50531015750768,0.0,0.0,0.0,0.0,3.0
n_ninos_6_16,1517,0.0,0.5550428477257745,0.818105605935843,0.0,0.0,0.0,1.0,5.0
n_adultos_65_mas,1517,0.0,0.3988134475939354,0.6616710795779983,0.0,0.0,0.0,1.0,3.0
edad_jefe,1517,0.0,51.890573500329594,15.153737994256891,19.0,40.0,51.0,63.0,98.0
personas_con_mod_educ,1517,0.0,3.103493737640079,1.552670582828186,1.0,2.0,3.0,4.0,9.0
n_6_16_total,1517,0.0,0.5392221489782465,0.8060278685577099,0.0,0.0,0.0,1.0,5.0
n_6_16_matriculados,1517,0.0,0.4772577455504285,0.7612244477003536,0.0,0.0,0.0,1.0,4.0
n_6_16_no_matriculados,1517,0.0,0.05998681608437706,0.299010240354112,0.0,0.0,0.0,0.0,4.0
n_6_16_no_asisten,1517,0.0,0.05273566249176005,0.2666378506591454,0.0,0.0,0.0,0.0,2.0
any_6_16_no_matriculados,1517,0.0,0.04614370468029005,0.20986542470292383,0.0,0.0,0.0,0.0,1.0
any_6_16_no_asisten,1517,0.0,0.04218852999340804,0.20108533690440084,0.0,0.0,0.0,0.0,1.0
personas_con_mod_salud,1517,0.0,3.1977587343441,1.6126708822540838,1.0,2.0,3.0,4.0,10.0
miembros_con_sintoma_4w,1517,0.0,1.4541858932102834,1.2836669110435117,0.0,0.0,1.0,2.0,8.0
miembros_con_enfermedad_4w,1517,0.0,0.8220171390903098,1.1194916827178287,0.0,0.0,0.0,1.0,8.0
miembros_sin_atencion_salud,1517,0.0,3.1977587343441,1.6126708822540838,1.0,2.0,3.0,4.0,10.0
miembros_afiliados_essalud,1517,0.0,0.948582729070534,1.3236207669151954,0.0,0.0,0.0,2.0,7.0
any_sintoma_4w,1517,0.0,0.7396176664469347,0.43898793584145324,0.0,0.0,1.0,1.0,1.0
any_enfermedad_4w,1517,0.0,0.4772577455504285,0.49964723190129756,0.0,0.0,0.0,1.0,1.0
personas_con_mod_empleo,1517,0.0,2.5728411338167434,1.2469490615947012,1.0,2.0,2.0,3.0,9.0
miembros_con_ingreso_laboral,1517,0.0,1.4845088991430455,0.9537061297966906,0.0,1.0,1.0,2.0,6.0
jefe_con_ingreso_laboral,1517,0.0,0.7554383651944627,0.42996873044488526,0.0,1.0,1.0,1.0,1.0
any_ingreso_laboral_hogar,1517,0.0,0.8826631509558339,0.3219273677794746,0.0,1.0,1.0,1.0,1.0
sexo_jefe_bin,1517,0.0,0.6077785102175346,0.48840663179481536,0.0,0.0,1.0,1.0,1.0
educ_jefe_ord,1517,0.0,6.137112722478576,2.402928149111383,1.0,5.0,6.0,8.0,11.0
tam_hogar,1517,0.0,3.1779828609096903,1.6047309319079484,1.0,2.0,3.0,4.0,10.0
num_perceptores,1517,0.0,1.995385629531971,0.9976779436732247,0.0,1.0,2.0,3.0,7.0
gasto_hogar,1517,0.0,32489.521678705787,22380.9591697261,1463.9244384765625,17142.4140625,27023.13671875,42191.6796875,188763.21875
piso_precario,1517,0.0,0.0922874093605801,0.289526684404965,0.0,0.0,0.0,0.0,1.0
acceso_agua_red,1517,0.0,0.7620303230059328,0.42598090017288187,0.0,1.0,1.0,1.0,1.0
agua_potable_reportada,1517,0.0,0.7903757415952538,0.40717467696822196,0.0,1.0,1.0,1.0,1.0
agua_disponible_diaria,1517,0.0,0.7442320369149638,0.43643587535872413,0.0,0.0,1.0,1.0,1.0
agua_segura_proxy,1517,0.0,0.7178642056690837,0.450187501267057,0.0,0.0,1.0,1.0,1.0
acceso_desague_red,1517,0.0,0.7000659195781147,0.4583799001427845,0.0,0.0,1.0,1.0,1.0
saneamiento_inadecuado,1517,0.0,0.1015161502966381,0.30211055400832576,0.0,0.0,0.0,0.0,1.0
acceso_electricidad,1517,0.0,0.9479235332893869,0.2222545177631618,0.0,1.0,1.0,1.0,1.0
combustible_limpio,1517,0.0,0.8556361239288068,0.3515742124696015,0.0,1.0,1.0,1.0,1.0
combustible_precario,1517,0.0,0.12524719841793014,0.33110815009364963,0.0,0.0,0.0,0.0,1.0
internet_hogar,1517,0.0,0.9110085695451549,0.28482526802203345,0.0,1.0,1.0,1.0,1.0
area_rural_bin,1517,0.0,0.13183915622940012,0.3384273819384678,0.0,0.0,0.0,0.0,1.0
children_not_enrolled,1517,0.0,0.04614370468029005,0.20986542470292383,0.0,0.0,0.0,0.0,1.0
children_not_attending,1517,0.0,0.04218852999340804,0.20108533690440084,0.0,0.0,0.0,0.0,1.0
