variable,descripcion,dimension_analitica,modulo_fuente,tipo_logico,dtype_dataset,expanded_features,f_score_max,f_score_mean,p_value_min,significativa_5pct,constant_expanded_features,rol,observaciones,rank_f_score
usa_combustible_limpio,Uso de combustible limpio para cocinar,Energia,Modulo01,binaria,int64,1,122.81154262070055,122.81154262070055,1.6918275598454683e-27,True,0,feature_candidata,,1.0
usa_combustible_precario,Uso de combustible precario para cocinar,Energia,Modulo01,binaria,int64,1,105.98530589262494,105.98530589262494,4.5169610482093196e-24,True,0,feature_candidata,,2.0
dispositivo_servicio_digital_2,Tenencia de dispositivo o servicio digital 2,Conectividad,Modulo01,categorica,string,3,104.39347206127238,63.71273427068676,9.573705131905381e-24,True,0,feature_candidata,,3.0
material_techo,Material predominante del techo,Vivienda y entorno,Modulo01,categorica,string,9,97.44406617958519,22.64324990853685,2.5681765308571903e-22,True,0,feature_candidata,,4.0
nivel_educativo_jefe_ord,Nivel educativo ordinal del jefe del hogar,Educacion,Modulo02/Modulo03,numerica,float64,1,81.9601594193783,81.9601594193783,4.155951591819796e-19,True,0,feature_candidata,Versión ordinal del nivel educativo; evaluar frente a la versión categórica.,5.0
dispositivo_servicio_digital_3,Tenencia de dispositivo o servicio digital 3,Conectividad,Modulo01,categorica,string,3,80.01419028355112,50.4909248407126,1.0583309013210154e-18,True,0,feature_candidata,,6.0
piso_precario,Indicador de piso precario,Vivienda y entorno,Modulo01,binaria,int64,1,62.05179959436011,62.05179959436011,6.334829369045543e-15,True,0,feature_candidata,Proxy binario derivado desde material_piso_cat.,7.0
ingreso_neto_total_hogar,Ingreso neto total del hogar,programas_sociales,Sumaria,numerica,float64,1,61.639713509754046,61.639713509754046,7.745606314243195e-15,True,0,feature_candidata,Variable monetaria potente pero cercana al target monetario; interpretar con cautela.,8.0
num_habitaciones,Cantidad de habitaciones,Vivienda y entorno,Modulo01,numerica,float64,1,56.070692428369696,56.070692428369696,1.1810814254482456e-13,True,0,feature_candidata,,9.0
acceso_internet_hogar_derivado,Acceso a internet en el hogar,Conectividad,Modulo01,binaria,int64,1,50.29846763861613,50.29846763861613,2.0191638167527874e-12,True,0,feature_candidata,Derivada desde la variable original de internet; posible redundancia con internet_hogar_enaho.,10.0
dispositivo_servicio_digital_1,Tenencia de dispositivo o servicio digital 1,Conectividad,Modulo01,categorica,string,3,50.29846763861513,33.11785640259503,2.0191638167537874e-12,True,0,feature_candidata,,11.0
material_pared,Material predominante de la pared,Vivienda y entorno,Modulo01,categorica,string,9,47.91049533939896,12.231868993955125,6.565573946506553e-12,True,0,feature_candidata,,12.0
tam_hogar,Tamaño del hogar,Demografia y composicion del hogar,Sumaria,numerica,int8,1,46.50045228594945,46.50045228594945,1.3190127918755304e-11,True,0,feature_candidata,,13.0
num_ninos_0_5,Número de niños de 0 a 5 años,Demografia y composicion del hogar,Modulo02,numerica,int64,1,45.13229768026472,45.13229768026472,2.5981104177141243e-11,True,0,feature_candidata,,14.0
num_ninos_6_16,Número de niños de 6 a 16 años,Demografia y composicion del hogar,Modulo02,numerica,int64,1,44.711014159441305,44.711014159441305,3.201840599595721e-11,True,0,feature_candidata,,15.0
num_miembros_afiliados_essalud,Miembros afiliados a EsSalud,Salud,Modulo04,numerica,int64,1,43.68796937061552,43.68796937061552,5.320254420022088e-11,True,0,feature_candidata,,16.0
estrato_geografico,Estrato geográfico,Geografia y contexto territorial,Sumaria,categorica,string,6,39.80939306339165,13.720816923568941,3.667306554787859e-10,True,0,feature_candidata,,17.0
monto_juntos,Ingreso por Juntos,programas_sociales,Sumaria,numerica,int16,1,27.27933158347391,27.27933158347391,2.0055711285892754e-07,True,0,feature_candidata,Variable monetaria de apoyo/programa social; evaluar por riesgo de proximidad conceptual al target.,18.0
acceso_desague_red,Acceso a desagüe por red pública,Servicios basicos,Modulo01,binaria,int64,1,25.861738673252574,25.861738673252574,4.1248228949981163e-07,True,0,feature_candidata,,19.0
monto_bono_gas,Ingreso por Bono del Gas,programas_sociales,Sumaria,numerica,int16,1,25.187110082846367,25.187110082846367,5.817498090569167e-07,True,0,feature_candidata,Variable monetaria de apoyo/programa social; evaluar por riesgo de proximidad conceptual al target.,20.0
monto_pension_65,Ingreso por Pensión 65,programas_sociales,Sumaria,numerica,int16,1,23.541372003306932,23.541372003306932,1.3485805446498706e-06,True,0,feature_candidata,Variable monetaria de apoyo/programa social; evaluar por riesgo de proximidad conceptual al target.,21.0
num_miembros_sin_atencion_salud,Miembros sin atención en salud,Salud,Modulo04,numerica,int64,1,20.7103280699745,20.7103280699745,5.7692530710160814e-06,True,0,feature_candidata,,22.0
acceso_agua_red,Acceso a agua por red pública,Servicios basicos,Modulo01,binaria,int64,1,20.691640891232364,20.691640891232364,5.825063289555122e-06,True,0,feature_candidata,,23.0
num_miembros_con_enfermedad_4_sem,Miembros con enfermedad en últimas 4 semanas,Salud,Modulo04,numerica,int64,1,17.823848893877265,17.823848893877265,2.5673359085322993e-05,True,0,feature_candidata,,24.0
monto_programa_contigo,Ingreso por programa Contigo,programas_sociales,Sumaria,numerica,int16,1,14.506929530322024,14.506929530322024,0.00014522305093967258,True,0,feature_candidata,Variable monetaria de apoyo/programa social; evaluar por riesgo de proximidad conceptual al target.,25.0
agua_potable_reportada,Agua reportada como potable,Servicios basicos,Modulo01,binaria,int64,1,14.457156732442503,14.457156732442503,0.0001490739487704724,True,0,feature_candidata,,26.0
tipo_vivienda,Tipo de vivienda,Vivienda y entorno,Modulo01,categorica,string,7,12.763638117594095,4.0482260933196565,0.0003644878849386234,True,0,feature_candidata,,27.0
monto_otras_transferencias_publicas,Ingreso por otras transferencias públicas,programas_sociales,Sumaria,numerica,int32,1,12.704367545558927,12.704367545558927,0.00037612374766949274,True,0,feature_candidata,Variable monetaria de apoyo/programa social; evaluar por riesgo de proximidad conceptual al target.,28.0
monto_bono_electricidad,Ingreso por Bono Electricidad,programas_sociales,Sumaria,numerica,int8,1,9.415212921461798,9.415212921461798,0.0021900903094562362,True,0,feature_candidata,Variable monetaria de apoyo/programa social; evaluar por riesgo de proximidad conceptual al target.,29.0
num_miembros_con_sintoma_4_sem,Miembros con síntoma o malestar en últimas 4 semanas,Salud,Modulo04,numerica,int64,1,8.870492644422011,8.870492644422011,0.002944235445152106,True,0,feature_candidata,,30.0
